PaSenateDems,1029,1
rweingarten,1026,1
eitbNoticias,1023,1
ACSP_Canada,1021,1
cenaprece,1019,1
GCC_1111,1010,1
IntoleranciaID,1003,1
BaaghiTV,998,1
CMM_noticias,987,1
lecho,985,1
BTBreakingTimes,985,1
elsolde_mexico,974,1
24hPujadas,962,1
radioclassique,960,1
SkymetWeather,954,1
TgrRai,953,1
Oneindia,952,1
thepapercn,951,1
kleinezeitung,949,1
opiniondemalaga,914,1
TRF_Stories,913,1
StephenMcDonell,909,1
WSMV,909,1
EXNdigital,905,1
RaiSport,902,1
EastMojo,901,1
ICFJ,901,1
THMumbai,900,1
StarAdvertiser,884,1
vanguardiamx,884,1
889Noticias,877,1
mikelayestaran,874,1
ADNsur,868,1
wkyc,852,1
primeraedicionw,829,1
AmericaDigital,824,1
bbcnewsgujarati,823,1
iambhutia,822,1
Midilibre,814,1
JohnNosta,811,1
calgarysun,807,1
torreon,806,1
Catinformacio,806,1
24heuresch,804,1
MonDiari,798,1
aragontv,792,1
VilledeNice,791,1
LesNews24,786,1
agerpres,784,1
rionegrocomar,783,1
ideal_granada,774,1
EmmaLGraney,770,1
Netwerk24,754,1
OpinionLSR,748,1
TheSpec,748,1
CorSport,747,1
ERnewsroom,743,1
airnews_hyd,740,1
elCorreoWeb,739,1
elpatagonico,738,1
fox7austin,738,1
Metropoles,729,1
modrnhealthcr,728,1
ucankuscom,721,1
EBRD,717,1
TheDailyPioneer,716,1
9NewsQueensland,710,1
TheStatesmanLtd,708,1
ABC_NewsRadio,701,1
laopinioncoruna,693,1
BusinessTimes,692,1
BenWinslow,686,1
NewsMobileIndia,685,1
TheAgenda,685,1
IrnaEnglish,675,1
telebusiness,673,1
Univision23,672,1
PoliticsReid,660,1
lerepu,653,1
lavoixdunord,649,1
tgr_campania,647,1
ddnews_guwahati,642,1
EPinternacional,640,1
SalfordCouncil,621,1
NJTVNews,621,1
classcnbc,619,1
deborahblum,617,1
Openthemag,610,1
Agenzia_Dire,597,1
DailySabah,591,1
sportstarweb,589,1
dnatweets,587,1
nckhui,586,1
KFOX14,581,1
lessentiel,576,1
cordoba,569,1
LavekarBharati,567,1
thatsMalayalam,562,1
arirangtvnews,562,1
holmescnn,560,1
wesrap,558,1
SamayamTamil,556,1
1010WINS,547,1
lestrepublicain,541,1
77WABCradio,540,1
LFPress,536,1
IB3noticies,536,1
techreview_es,530,1
QuePasaSalta,524,1
AmericanLegion,518,1
JagranEnglish,517,1
GDS_it,516,1
UnivisionSalud,516,1
EFEdeportes,515,1
CICsal,511,1
RadioEducacion,507,1
IeTamil,506,1
elprogreso_Lugo,498,1
phdchamber,497,1
eltribuno,493,1
lindependant,491,1
PlenoNews,483,1
natlawreview,468,1
NewsweekEspanol,467,1
UnioneSarda,467,1
trafficscotland,463,1
ACSouthAsia,459,1
worldnewsdotcom,458,1
HablaDeportes,456,1
NewsRadio930,453,1
sridhartweet,450,1
CurtisSChin,450,1
abccordoba,440,1
iran_policy,439,1
Ostrov_A,420,1
LaJornadaMaya,418,1
MTVEnglishNews,414,1
BI_Italia,412,1
LexisNexis,411,1
ArabNewsjp,404,1
8worldnews,401,1
WestJournalism,397,1
EntrepreneurIND,393,1
mallorcadiario,392,1
GregHilburn1,391,1
LiamWBZ,387,1
PueblaTVmx,383,1
CBS4Local,378,1
JxnFreePress,376,1
HTAutotweets,375,1
kmoxnews,365,1
DurhamCouncil,364,1
SSP_SLP,360,1
GlobeOpinion,360,1
il_piccolo,358,1
dw_hindi,358,1
Quadratin_,356,1
cmaconthehill,356,1
RonWaxman,355,1
lariojaorg,353,1
ANN_Newsable,352,1
northyorkscc,350,1
CourrierPicard,348,1
AlPunto,348,1
drkomanduri,346,1
rtvandorra,341,1
PC_Guerrero,334,1
aawsat_eng,333,1
660NEWS,329,1
NavarraTV,320,1
kmfmnews,309,1
giornalettismo,309,1
TMBinfo,309,1
comunevenezia,309,1
MemphoNewsLady,306,1
UnionArdennais,304,1
10NewsFirstAdl,301,1
iDiarioES,297,1
aartipole,293,1
RED92cadadiamas,289,1
69News,289,1
ouestfrance35,289,1
WCCBCharlotte,284,1
ideal_almeria,283,1
wwmtnews,282,1
BrasilEFE,281,1
bianet_eng,270,1
ItaliaaTavola,269,1
SamayamTelugu,264,1
rwang0,263,1
WTKR3,259,1
asianet_telugu,258,1
eitbAlbisteak,257,1
dt_next,251,1
filmibeat,251,1
7NewsGoldCoast,250,1
ORFMumbai,237,1
F3PaysdelaLoire,234,1
indiacom,233,1
YahooActuFR,232,1
FirstpostSports,227,1
99acresIndia,219,1
ShanghaiEye,219,1
morandiniblog,218,1
RUTA_Puebla,214,1
EPCatalunya,213,1
amna_newseng,208,1
ETPanache,207,1
NLawGlobal,206,1
ideal_jaen,205,1
ABCNews4,204,1
Ticinonline,203,1
Bugabootv,198,1
FranTownsend,196,1
cyclismactu,192,1
9NewsGoldCoast,192,1
1310NEWS,190,1
HT_Bangla,189,1
opiniondezamora,184,1
emporda_info,181,1
N1info,173,1
jodixu,172,1
